"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Goodell J.W.; Kumar S.; Lim W.M.; Pattnaik D.","Goodell, John W. (24068577200); Kumar, Satish (57992552600); Lim, Weng Marc (57193912670); Pattnaik, Debidutta (57211909377)","24068577200; 57992552600; 57193912670; 57211909377","Artificial intelligence and machine learning in finance: Identifying foundations, themes, and research clusters from bibliometric analysis","2021","Journal of Behavioral and Experimental Finance","32","","100577","","","","617","10.1016/j.jbef.2021.100577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115609358&doi=10.1016%2fj.jbef.2021.100577&partnerID=40&md5=8d30826e3db5e164abce070d08f9610d","Artificial intelligence (AI) and machine learning (ML) are two related technologies that are emergent in financial scholarship. However, no review, to date, has offered a wholistic retrospection of this research. To address this gap, we provide an overview of AI and ML research in finance. Using both co-citation and bibliometric-coupling analyses, we infer the thematic structure of AI and ML research in finance for 1986–April 2021. By uncovering nine (co-citation) and eight (bibliometric coupling) specific clusters of finance that apply AI and ML, we further identify three overarching groups of finance scholarship that are roughly equivalent for both forms of analysis: (1) portfolio construction, valuation, and investor behavior; (2) financial fraud and distress; and (3) sentiment inference, forecasting, and planning. Additionally, using co-occurrence and confluence analyses, we highlight trends and research directions regarding AI and ML in finance research. Our results provide assessment of AI and ML in finance research. © 2021 Elsevier B.V.","Artificial intelligence; Bibliometric analysis; Finance; Machine learning; Review","","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85115609358"
"Ribeiro M.T.; Singh S.; Guestrin C.","Ribeiro, Marco Tulio (57190979956); Singh, Sameer (58124003300); Guestrin, Carlos (57195906692)","57190979956; 58124003300; 57195906692","""Why should i trust you?"" Explaining the predictions of any classifier","2016","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","13-17-August-2016","","","1135","1144","9","19803","10.1145/2939672.2939778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984985889&doi=10.1145%2f2939672.2939778&partnerID=40&md5=217b33ce367d1ea7001014a5ac694c79","Despite widespread adoption, machine learning models remain mostly black boxes. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model. Such understanding also provides insights into the model, which can be used to transform an untrustworthy model or prediction into a trustworthy one. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction. We also propose a method to explain models by presenting representative individual predictions and their explanations in a non-redundant way, framing the task as a submodular optimization problem. We demonstrate the flexibility of these methods by explaining different models for text (e.g. random forests) and image classification (e.g. neural networks). We show the utility of explanations via novel experiments, both simulated and with human subjects, on various scenarios that require trust: deciding if one should trust a prediction, choosing between models, improving an untrustworthy classifier, and identifying why a classifier should not be trusted. © 2016 Copyright held by the owner/author(s). Publication rights licensed to ACM.","","Artificial intelligence; Data mining; Decision trees; Forecasting; Learning systems; Optimization; Text processing; Black boxes; Human subjects; Individual prediction; Machine learning models; Non-redundant; Random forests; Submodular optimizations; Image classification","Conference paper","Final","","Scopus","2-s2.0-84984985889"
"Aria M.; Cuccurullo C.","Aria, Massimo (23388148900); Cuccurullo, Corrado (36489082700)","23388148900; 36489082700","bibliometrix: An R-tool for comprehensive science mapping analysis","2017","Journal of Informetrics","11","4","","959","975","16","13332","10.1016/j.joi.2017.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029313621&doi=10.1016%2fj.joi.2017.08.007&partnerID=40&md5=277ba69eb32d964445d4db7ad9388954","The use of bibliometrics is gradually extending to all disciplines. It is particularly suitable for science mapping at a time when the emphasis on empirical contributions is producing voluminous, fragmented, and controversial research streams. Science mapping is complex and unwieldly because it is multi-step and frequently requires numerous and diverse software tools, which are not all necessarily freeware. Although automated workflows that integrate these software tools into an organized data flow are emerging, in this paper we propose a unique open-source tool, designed by the authors, called bibliometrix, for performing comprehensive science mapping analysis. bibliometrix supports a recommended workflow to perform bibliometric analyses. As it is programmed in R, the proposed tool is flexible and can be rapidly upgraded and integrated with other statistical R-packages. It is therefore useful in a constantly changing science such as bibliometrics. © 2017 Elsevier Ltd","Bibliographic coupling; Bibliometrics; Co-citation; R package; Science mapping; Workflow","Computer software; Data flow analysis; Open source software; Open systems; Bibliographic couplings; Bibliometric analysis; Bibliometrics; Cocitation; Mapping analysis; Open source tools; Work-flows; Workflow; Mapping","Article","Final","","Scopus","2-s2.0-85029313621"
"Markowitz H.","Markowitz, Harry (35576888000)","35576888000","PORTFOLIO SELECTION","1952","The Journal of Finance","7","1","","77","91","14","19162","10.1111/j.1540-6261.1952.tb01525.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995186518&doi=10.1111%2fj.1540-6261.1952.tb01525.x&partnerID=40&md5=6bccba53c276ee8f64201c877be26c2f","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84995186518"
"Leo M.; Sharma S.; Maddulety K.","Leo, Martin (57208443027); Sharma, Suneel (57208437753); Maddulety, K. (55315114500)","57208443027; 57208437753; 55315114500","Machine learning in banking risk management: A literature review","2019","Risks","7","1","29","","","","363","10.3390/risks7010029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064808150&doi=10.3390%2frisks7010029&partnerID=40&md5=f35802812df8426676324e9ad8cec20f","There is an increasing influence of machine learning in business applications, with many solutions already implemented and many more being explored. Since the global financial crisis, risk management in banks has gained more prominence, and there has been a constant focus around how risks are being detected, measured, reported and managed. Considerable research in academia and industry has focused on the developments in banking and risk management and the current and emerging challenges. This paper, through a review of the available literature seeks to analyse and evaluate machine-learning techniques that have been researched in the context of banking risk management, and to identify areas or problems in risk management that have been inadequately explored and are potential areas for further research. The review has shown that the application of machine learning in the management of banking risks such as credit risk, market risk, operational risk and liquidity risk has been explored; however, it doesn’t appear commensurate with the current industry level of focus on both risk management and machine learning. A large number of areas remain in bank risk management that could significantly benefit from the study of how machine learning can be applied to address specific problems. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.","Bank; Credit scoring; Fraud; Machine learning; Risk management","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85064808150"
